Ref,Val,Package,PosX,PosY,Rot,Side
"C11","10nF","C_0603_1608Metric",25.501500,-16.764000,0.000000,bottom
"C12","1uF","C_0603_1608Metric",25.527000,-14.986000,0.000000,bottom
"C15","10nF","C_0603_1608Metric",24.511000,-23.139500,270.000000,bottom
"C16","1uF","C_0603_1608Metric",22.987000,-23.139500,270.000000,bottom
"R3","10k","R_0603_1608Metric",20.193000,-16.891000,0.000000,bottom
"R9","10k","R_0603_1608Metric",29.489500,-16.256000,0.000000,bottom
"R10","10k","R_0603_1608Metric",29.489500,-18.034000,0.000000,bottom
"R28","10k","R_0603_1608Metric",20.447000,-13.233500,270.000000,bottom
"R29","10k","R_0603_1608Metric",20.447000,-10.160000,90.000000,bottom
"R30","10k","R_0603_1608Metric",25.273000,-20.828000,0.000000,bottom
"U9","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",25.527000,-11.176000,0.000000,bottom
"U10","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",27.051000,-23.114000,90.000000,bottom
